#country code|service name|icon image|[overlay image]
# TODO: fix country assignments, sort
ALL|Zapak|http://lg.zapak.com/|Images/tmp/zapak.png|
ALL|TVN|http://www.tvn.cl/lg/pruebas|Images/tmp/tvn.png|
ALL|MapCity|http://lgdtv.mapcity.com|Images/tmp/mapcity.png|
ALL|MNET TV|http://smarttv.mnet.com/lg|Images/tmp/mnettv.png|
ALL|Play Y|http://lgtv.playy.co.kr/ |Images/tmp/playy.png|
ALL|HeadWeb|http://lg.headweb.com/ |Images/tmp/headweb.png|
SPA|TV3|http://www.tv3.cat/pprogrames/iptv/lghtml/iptv.jsp|Images/tmp/tv3.png|
SPA|Wuaki|http://lgtv.wuaki.tv|Images/tmp/wuaki.png|
SPA|RedKaraoke|http://www.redkaraoke.es/tv/lg|Images/tmp/redkaraoke.png|
POL|Ipla|http://tv.ipla.pl/lg/|Images/tmp/iplapl.png|
POL|Allegro|http://tv.allegro.pl/|Images/tmp/allegro.png|
SPA|Info Meteo|http://lge.infometeo.es/|Images/tmp/infometeo.png|
ALL|The Scynthians|http://www.thescythians.com/netcast|Images/tmp/thescythians.png|
ALL|HKBN|http://www.hkbn.net/tv/lg/home/index.html|Images/tmp/hkbn.png|
ALL|Parents Kingdom|http://www.parents-kingdom.com/LG|Images/tmp/parentskingdom.png|
ALL|Newera Digital TV|http://www.neweradigital.net/web/LG|Images/tmp/neweradigital.png|
ALL|CNET|http://www.cbsinteractive.com.au/iptv/lg/netcast/cnet/|Images/tmp/cnet.png|
ALL|Hungama|http://lg.hungama.com/ |Images/tmp/hungama.png|
ALL|Bollywood Hungama|http://akm-lg.bollywoodhungama.com/|Images/tmp/bollywoodhungama.png|
ALL|MYTV|http://lg.mytv.tvb.hk|Images/tmp/mytv.png|
ALL|RTHK|http://iptv.rthk.hk/lg|Images/tmp/rthk.png|
ALL|ESPN Star|http://www.espnstar.tv/lg-app-source/ESPNLG/index.html|Images/tmp/espnstar.png|
AUS|ABC iView|http://www.abc.net.au/iview/api/lg/|Images/tmp/abc-iview.png|
ALL|Walla|http://video.walla.co.il/?w=//1666172/@item.v9.lg|Images/tmp/walla.png|
ALL|Seemorgh|http://netcast.seemorgh.com/pages/p1.php|Images/tmp/seemorgh.png|
ALL|Khabar|http://www.khabaronline.ir/lge/mainpage.aspx|Images/tmp/khabar.png|
ALL|Carwale|http://lgtv.carwale.com/index.aspx|Images/tmp/carwale.png|
ALL|India Times|http://lgtv.indiatimes.com/|Images/tmp/indiatimes.png|
ALL|Shopppening|http://www.shoppening.com/LGSmartTV/|Images/tmp/shoppening.png|
HUN|Port HU|http://port.hu/smarttv_lg_test/|Images/tmp/port.png|
ALL|Snimka|http://www.snimka.bg/tv|Images/tmp/snimka.png|
ALL|Index HR|http://www.index.hr/lge/final/|Images/tmp/indexhr.png|
ALL|Domino Magazin|http://www.dominomagazin.com/tv_qa|Images/tmp/domino.png|
ALL|iConcerts|http://www.iconcerts.com/?q=lgtv|Images/tmp/iconcerts.png|
ALL|CineTrailer|http://nettv.cinetrailer.tv/lg/|Images/tmp/cinetrailer.png|
ALL|Stream CZ|http://www.stream.cz/?m=lg&a=list|Images/tmp/streamcz.png|
ALL|CTK|http://lge.cn.cz|Images/tmp/ctk.png|
ALL|Aupeo|http://www.aupeo.com/opera_widget/lg.html|Images/tmp/aupeo.png|
DEU|Kino DE|http://koops.e-media.de/lg/|Images/tmp/kinode.png|
DEU|TV Movie|http://tvmovie.itv1.xooz.de/|Images/tmp/tvmovie.png|
DEU|QTOM|http://qtom.nettv.kbia.de/|Images/tmp/qtom.png|
ALL|Woomi|https://lg.live.miniweb.tv/clients/lg/index.xhtml|Images/tmp/woomi.png|
ALL|AutoCar|http://lg.autocar.co.uk|Images/tmp/autocar.png|
ALL|Stuff|http://lg.stuff.tv|Images/tmp/stuff.png|
ALL|NCT|http://tivi.nhaccuatui.com/lg/|Images/tmp/nct.png|
ALL|GameAnalyser|http://bptv.Bigpond.com/lgnrl|Images/tmp/gameanalyser.png|
ALL|AP|http://lgwidget.ap.org|Images/tmp/ap.png|
ALL|NBA|http://www.nba.com/mobile/apps/2010/connected/lg/|Images/tmp/nba.png|
ALL|iPlay|http://tv.iplay.com/LG/|Images/tmp/ipla_com.png|
ALL|Napster|http://api.napster.com/apps/lg/|Images/tmp/napster.png|
